Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA PARALISADA;UNIDADE DE GESTAO COMPARTILHADA - PROCESSO E-03116 2012 COM AUTORIZO EM 28-03-2013;33172307;RJ;Campos dos Goytacazes;Urbana;Não Informado;Pública;"URURAI, SN URURAI. 28110-000 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;UNIVERSIDADE ESTACIO DE SA CAMPOS DOS GOYTACAZES;33172471;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"AVENIDADE 28 DE MARCO, 423 CENTRO. 28020-740 Campos dos Goytacazes - RJ.";(22) 27377000;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA SEMENTINHA NOVO CEU;33172765;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA RUBENS DE ALMEIDA GUSMAO, 02 PARQUE VISCONDE DE URURAI. 28040-505 Campos dos Goytacazes - RJ.";(22) 27242754;Privada;Particular;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.80917;-41.39333
ESCOLA PARALISADA;UNIVERSIDADE SALGADO DE OLIVEIRA - CAMPUS CAMPOS DOS GOYTACAZES;33173702;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"AVENIDA OSVALDO CARDOSO DE MELO, 856 PARQUE DOM BOSCO. 28030-112 Campos dos Goytacazes - RJ.";;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ARAUTOS DO EVANGELHO CAMPOS DOS GOYTACAZES - RJ;33174091;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PEDRO MACIEL NETO, 245 PARQUE SANTO ANTONIO. 28022-335 Campos dos Goytacazes - RJ.";(22) 30562127;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-21.80117;-41.30595
ESCOLA PARALISADA;ESCOLA DE CAPACITACAO E FORMACAO TECNICA PARA INDUSTRIA PETROLEIRA E NAVAL LTDA;33174113;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"RUA GUMERCINDO DE FREITAS, 162 PARQUE SAO CAETANO. 28030-295 Campos dos Goytacazes - RJ.";;Privada;Não Informado;Não;;;;;-21.76139;-41.34638
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE FORMACAO EDUCACIONAL TIA JO;33174628;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR DOMINGOS GUIMARAES, 137 PARQUE ELDORADO. 28090-150 Campos dos Goytacazes - RJ.";(22) 27281300;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA PARALISADA;PRESAL CURSOS FORMACAO PROFISSIONAL LTDA;33174695;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"RUA ALVARENGA FILHO, 25 TERREO. CENTRO. 28035-125 Campos dos Goytacazes - RJ.";(22) 27222148;Privada;Não Informado;Não;;;;;-21.761;-41.33013
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO CILENTO LTDA ME;33175160;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MAX DE VASCONCELOS, 305 PARQUE CAJU. 28051-190 Campos dos Goytacazes - RJ.";(22) 27322900;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL AZEVEDO;33175390;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA ARNALDO ROSA VIANA, 95 PARQUE JOQUEI CLUB. 28020-126 Campos dos Goytacazes - RJ.";(22) 999070145;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.7786;-41.29582
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO INTEGRADO JOAO XXIII;33175578;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA ALBERTO TORRES, 362 CENTRO. 28035-581 Campos dos Goytacazes - RJ.";(22) 27285324;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO ESCOLA RIACHUELO;33175713;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR JOAO MARIA, 35 SUPERME SUBER BOM. PARQUE FAZENDINHA. 28013-450 Campos dos Goytacazes - RJ.";(22) 27246799;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.7696669;-41.3184047
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM PROFESSORA RITA DE CASSIA ROCHA SOARES CHARDELLI;33177325;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARECHAL FLORIANO, 281 CENTRO. 28010-161 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM MARTIN LUTHER KING;33177333;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NOVE, S/N NOVO ELDORADO. 28110-000 Campos dos Goytacazes - RJ.";(22) 998330288;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM ANISIO SPINOLA TEIXEIRA;33177341;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA ANTONIO LUIZ DA SILVEIRA, 0 KM 13. TRAVESSAO DE CAMPOS. 28175-000 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SENAC CAMPOS;33177406;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CORA DE ALVARENGA, 151. PARQUE LEOPOLDINA. 28051-271 Campos dos Goytacazes - RJ.";;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Profissional;;-21.74958;-41.3475
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL PINTANDO O ABC;33177970;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MANGARATIBA, 114 PARQUE GUARUS. 28070-066 Campos dos Goytacazes - RJ.";(22) 999846073;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-21.718650092391;-41.3230877370027
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ASR REZENDE SERVICOS EDUCACIONAIS;33178194;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PROFESSOR FARIA, 30 CENTRO. 28035-205 Campos dos Goytacazes - RJ.";(22) 27251496;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA PARALISADA;SMART TREINAMENTOS INDUSTRIAIS;33179310;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"AVENIDA DEPUTADO ALAIR FERREIRA, 530 CENTRO. 28013-630 Campos dos Goytacazes - RJ.";(22) 30262630;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL RAQUEL GOMES RAMOS LTDA;33180261;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA EMERITA AZEVEDO, 69 ESCOLA. GOITACAZES. 28110-000 Campos dos Goytacazes - RJ.";;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL INTERATIVA LTDA ME;33180342;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR JULIO BARCELOS, 243 PREDIO. PARQUE JOQUEI CLUB. 28020-140 Campos dos Goytacazes - RJ.";(22) 27246953;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IFF - CENTRO DE REFERENCIA EM TECNOLOGIA INFORMACAO E COMUNICACAO NA EDUCACAO;33180792;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL WALTER KRAMER, 357 PARQUE SANTO ANTONIO. 28080-565 Campos dos Goytacazes - RJ.";(22) 27375600;Federal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;;;-21.7372903134674;-41.3238263502717
